"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"15";"Idrico";"via Clericetti 22";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"16";"Idrico";"via Don Bosco 14";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"17";"Idrico";"via Fantoli 7 ";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"02";"Antincendio";"Via Don Orione 2";"4  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"4";"REALE"
"03";"Antincendio";"Via Farini 9";"075  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"075";"REALE"
"04";"Antincendio";"Via Rugabella 4/6";"2  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"2";"REALE"
"05";"Antincendio";"Via A. Sassi 4";"967  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"967";"REALE"
"06";"Antincendio";"Via Sassi 4 P.ssa Jolanda";"5  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"5";"REALE"
"08";"Antincendio";"Via Livigno 3";"4  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"4";"REALE"
"09";"Antincendio";"Via Calvairate 1";"088  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"088";"REALE"
"10";"Antincendio";"Via Polesine 6";"523  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"523";"REALE"
"11b";"Antincendio";"Via Adriano 99 e  7";"4  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"4";"REALE"
"12";"Antincendio";"POT Bollate";"650  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"650";"REALE"
"14";"Antincendio";"viale Piceno 60";"446  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"446";"REALE"
"01";"Antincendio";"Via A. Doria 52";"4 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"4";"REALE"
